id,likesCount,owner/is_mentionable,owner/is_private,owner/is_verified,repliesCount,text,timestamp,clean_text,us_count,them_count,negation_count,intensifier_count,hedge_count,is_polarized,sentiment,toxicity
18059684816281581,1,True,True,False,0,❤️❤️❤️,2025-04-16T09:56:55.000Z,❤️❤️❤️,0,0,0,0,0,False,positive,0.0052201258949935
18078007339742672,1,False,True,False,0,👏👏👏👏👏👏👏👏,2025-04-16T09:56:17.000Z,👏👏👏👏👏👏👏👏,0,0,0,0,0,False,positive,0.0052201258949935
17894322462199128,1,True,False,True,0,🔥👏,2025-04-16T10:01:41.000Z,🔥👏,0,0,0,0,0,False,positive,0.0052201258949935
18073369624874273,233,True,False,True,1,“I’m a horrible person but I make it okay by showcasing my dog”,2025-04-16T09:59:00.000Z,“I’m a horrible person but I make it okay by showcasing my dog”,0,0,0,0,0,False,negative,0.055412795394659
17859325476395396,93,True,True,False,2,The country is imploding and they are in there playing around with dogs.,2025-04-16T09:59:13.000Z,The country is imploding and they are in there playing around with dogs.,0,1,0,0,0,False,negative,0.1108555942773819
18062205962019492,2,True,False,True,0,Great message 👏❤️,2025-04-16T10:05:23.000Z,Great message 👏❤️,0,0,0,0,0,False,positive,0.000779366120696
18326741518161813,44,True,True,False,4,So tf this mean??? President should be a dog to make us all happy?,2025-04-16T10:00:47.000Z,So tf this mean??? President should be a dog to make us all happy?,1,0,0,1,0,True,negative,0.2952299118041992
18028796843392710,22,True,False,False,1,WTF and why #Distractions,2025-04-16T09:58:42.000Z,WTF and why #Distractions,0,0,0,0,0,False,negative,0.73829185962677
18340214185085576,18,True,True,False,1,He is an embarrasement to my home state. Love the dog but feel sorry for who she lives with,2025-04-16T10:02:55.000Z,He is an embarrasement to my home state. Love the dog but feel sorry for who she lives with,0,0,0,0,0,False,negative,0.0012255674228072
18075813403826612,1,True,False,False,0,❤️❤️❤️❤️,2025-04-16T09:55:26.000Z,❤️❤️❤️❤️,0,0,0,0,0,False,positive,0.0052201258949935
18062535917071553,73,True,True,False,1,"So, do something, Jim. We don’t need these shenanigans with your spitting image pup. We need action.",2025-04-16T10:01:21.000Z,"So, do something, Jim. We don’t need these shenanigans with your spitting image pup. We need action.",2,0,1,1,0,True,negative,0.2974699437618255
